gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory	eventType
4438884319				CC_BY_NC_4_0	2023-11-03T08:23:54Z		https://www.inaturalist.org/observations/189445946	Franck Rakotonasolo					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION	Coordinate uncertainty increased to 30598m to protect threatened taxon			https://www.inaturalist.org/observations/189445946	189445946		Franck Rakotonasolo													PRESENT																			2023-09-21T12:10:18	12:10:18+03:00			2023	9	21	2023-09-21 12:10:18											AFRICA				MG	Toamasina				Alaotra-Mangoro, MG-TM, MG								-19.189873	48.380066	30598.0																															422592213				Franck Rakotonasolo		2023-10-30T06:25:12				473307								Coffea mangoroensis Portères								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae		Coffea	Coffea			mangoroensis			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2023-11-15T16:43:52.351Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	2895332	2895332	6	7707728	220	412	8798	2895315		2895332	Coffea mangoroensis	Coffea mangoroensis Portères	Coffea mangoroensis		DWC_ARCHIVE	2023-11-15T16:43:52.351Z	2023-11-14T14:42:11.117Z	true			MDG	Madagascar	MDG.5_1	Toamasina	MDG.5.1_1	Alaotra-Mangoro	MDG.5.1.5_1	Moramanga	NT	
4429954429		http://www.tropicos.org/Specimen/103407029		CC_BY_4_0				Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		K	Tropicos	Tropicos	MOBOT	PRESERVED_SPECIMEN				urn:catalog:MO:Tropicos:103407029	103407029	Razanatsima 2032	Aina Razanatsima;C. Zafindrafeno		4											PRESENT																			2019-11-19T00:00:00				2019	11	19												AFRICA				MG	Toamasina	Atsinanana		Atsinanana, Vatomandry, Ambalabe, Ambinanindrano II. Forêt de Vohibe. Récoltés avec Dera et Malina. Échantillons préservés en alcool.									-19.164722	48.553056																																				T. Andriamihajarivo (TAN)		2020-01-01T00:00:00				27906411								Coffea coursiana J.-F.Leroy								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae		Coffea	Coffea			coursiana			SPECIES			ICNafp	ACCEPTED	No opinion		e053ff53-c156-4e2e-b9b5-4462e9625424	US	2023-11-15T06:57:06.470Z	736.0					COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;MODIFIED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION		true	false	2895452	2895452	6	7707728	220	412	8798	2895315		2895452	Coffea coursiana	Coffea coursiana J.-F.Leroy	Coffea coursiana J.-F. Leroy		EML	2023-11-15T06:57:06.470Z	2023-11-15T05:40:24.424Z	true			MDG	Madagascar	MDG.5_1	Toamasina	MDG.5.1_1	Alaotra-Mangoro	MDG.5.1.5_1	Moramanga	VU	
4426957540		http://www.tropicos.org/Specimen/103400622		CC_BY_4_0				Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		K	Tropicos	Tropicos	MOBOT	PRESERVED_SPECIMEN				urn:catalog:MO:Tropicos:103400622	103400622	Andriamihajarivo 2550	Tefy Andriamihajarivo		4											PRESENT																		2749782	2022-12-17T00:00:00				2022	12	17												AFRICA				MG	Toliara	Atsimo-Andrefana		District de Sakaraha, Commune de Mahaboboka, Fokotany de Marotsiraka Betsileo, Village le plus proche Berobotsy. Collectés avec Miandry Fagnarea, Nesy, Martin (Guides).									-22.853611	44.272222																																				T. Andriamihajarivo (TAN)		2023-01-01T00:00:00				27906314								Coffea perrieri Drake ex Jum. & H.Perrier								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae		Coffea	Coffea			perrieri			SPECIES			ICNafp	ACCEPTED	No opinion		e053ff53-c156-4e2e-b9b5-4462e9625424	US	2023-11-15T06:57:06.434Z	416.0					COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;MODIFIED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION		true	false	2895320	2895320	6	7707728	220	412	8798	2895315		2895320	Coffea perrieri	Coffea perrieri Drake ex Jum. & H.Perrier	Coffea perrieri Drake ex Jum. & H. Perrier		EML	2023-11-15T06:57:06.434Z	2023-11-15T05:40:24.424Z	true			MDG	Madagascar	MDG.6_1	Toliary	MDG.6.3_1	Atsimo-Andrefana	MDG.6.3.7_1	Sakaraha	LC	
4420927340				CC_BY_NC_4_0	2023-10-04T10:30:48Z		https://www.inaturalist.org/observations/66642769	merveille					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION	Coordinate uncertainty increased to 30885m to protect threatened taxon			https://www.inaturalist.org/observations/66642769	66642769		merveille													PRESENT																			2020-12-15T10:10:58	10:10:58+03:00			2020	12	15	2020-12-15 10:10:58 AM GMT+03:00											AFRICA				MG	Mahajanga				Sofia, MG-MA, MG								-15.407416	47.590008	30885.0																															225161869				Franck Rakotonasolo		2021-12-08T20:10:30				622296								Coffea bissetiae A.P.Davis & Rakotonas.								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae		Coffea	Coffea			bissetiae			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2023-11-15T16:01:21.917Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	3848929	3848929	6	7707728	220	412	8798	2895315		3848929	Coffea bissetiae	Coffea bissetiae A.P.Davis & Rakotonas.	Coffea bissetiae		DWC_ARCHIVE	2023-11-15T16:01:21.917Z	2023-11-14T14:42:11.117Z	true			MDG	Madagascar	MDG.4_1	Mahajanga	MDG.4.4_1	Sofia	MDG.4.4.1_1	Analalava	VU	
4419829378		http://www.tropicos.org/Specimen/103387372		CC_BY_4_0				Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		K	Tropicos	Tropicos	MOBOT	PRESERVED_SPECIMEN				urn:catalog:MO:Tropicos:103387372	103387372	Rakotonirina 761	Nivo Rakotonirina;Richard Razakamalala;Rondro Hanitrinitiana Ramananjanahary		4											PRESENT																			2012-03-01T00:00:00				2012	3	1												AFRICA				MG	Toliara	Anosy		Anosy, Fort-Dauphin, Mahatalaky, fokontany Manafiafy. Forêt littorale S17 au bord de la rivière Elimoty.									-24.796389	47.166111																																				N. Rakotonirina		2012-01-01T00:00:00				27907255								Coffea abbayesii J.-F.Leroy								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae		Coffea	Coffea			abbayesii			SPECIES			ICNafp	ACCEPTED	No opinion		e053ff53-c156-4e2e-b9b5-4462e9625424	US	2023-11-15T06:57:06.307Z	6.0					COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;MODIFIED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION		true	false	2895521	2895521	6	7707728	220	412	8798	2895315		2895521	Coffea abbayesii	Coffea abbayesii J.-F.Leroy	Coffea abbayesii J.-F. Leroy		EML	2023-11-15T06:57:06.307Z	2023-11-15T05:40:24.424Z	true			MDG	Madagascar	MDG.6_1	Toliary	MDG.6.2_1	Anosy	MDG.6.2.3_1	Taolagnaro	EN	
4419822375		http://www.tropicos.org/Specimen/103387373		CC_BY_4_0				Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		BR	Tropicos	Tropicos	MOBOT	PRESERVED_SPECIMEN				urn:catalog:MO:Tropicos:103387373	103387373	Ratovoson 1798	F. Ratovoson		5											PRESENT																			2012-02-26T00:00:00				2012	2	26												AFRICA				MG	Toliara	Anosy		Fort Dauphin, Mahatalaky, Belavenoko, S17 ou Vakiasambo, 2,5 km à l’est de Belavenoko.									-24.842778	47.136111																																				F. Ratovoson		2012-01-01T00:00:00				27907255								Coffea abbayesii J.-F.Leroy								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae		Coffea	Coffea			abbayesii			SPECIES			ICNafp	ACCEPTED	No opinion		e053ff53-c156-4e2e-b9b5-4462e9625424	US	2023-11-15T06:59:10.556Z	10.0					COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;MODIFIED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_INSTITUTION	StillImage	true	false	2895521	2895521	6	7707728	220	412	8798	2895315		2895521	Coffea abbayesii	Coffea abbayesii J.-F.Leroy	Coffea abbayesii J.-F. Leroy		EML	2023-11-15T06:59:10.556Z	2023-11-15T05:40:24.424Z	true			MDG	Madagascar	MDG.6_1	Toliary	MDG.6.2_1	Anosy	MDG.6.2.3_1	Taolagnaro	EN	
4416674367				CC_BY_NC_4_0	2023-09-21T05:36:38Z		https://www.inaturalist.org/observations/66642038	merveille					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION	Coordinate uncertainty increased to 30885m to protect threatened taxon			https://www.inaturalist.org/observations/66642038	66642038		merveille													PRESENT																			2020-12-15T08:41:22	08:41:22+03:00			2020	12	15	2020-12-15 8:41:22 AM GMT+03:00											AFRICA				MG	Mahajanga				Sofia, MG-MA, MG								-15.403732	47.504282	30885.0																															225162819				Franck Rakotonasolo		2021-12-08T20:16:57				622296								Coffea bissetiae A.P.Davis & Rakotonas.								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae		Coffea	Coffea			bissetiae			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2023-11-15T16:01:28.293Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	3848929	3848929	6	7707728	220	412	8798	2895315		3848929	Coffea bissetiae	Coffea bissetiae A.P.Davis & Rakotonas.	Coffea bissetiae		DWC_ARCHIVE	2023-11-15T16:01:28.293Z	2023-11-14T14:42:11.117Z	true			MDG	Madagascar	MDG.4_1	Mahajanga	MDG.4.4_1	Sofia	MDG.4.4.1_1	Analalava	VU	
4416235362		http://www.tropicos.org/Specimen/103382893		CC_BY_4_0				Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		MO	Tropicos	Tropicos	MOBOT	PRESERVED_SPECIMEN				urn:catalog:MO:Tropicos:103382893	103382893	Andriambololonera 517	S. Andriambololonera;Hanta Razafindraibe;Richard Razakamalala		3											PRESENT																		2457529	2018-10-17T00:00:00				2018	10	17												AFRICA				MG	Toamasina	Atsinanana		District de Toamasina II, Commune d'Ambohitandroho, Fokontany de Mahatsara, Village d'Ambodivoapaka. Forêt d'Analampotsy.									-18.260833	49.323611																																				S. Andriambololonera		2023-01-01T00:00:00				40011705								Coffea L.								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae		Coffea	Coffea						GENUS			ICNafp	ACCEPTED	Legitimate		7bd65a7a-f762-11e1-a439-00145eb45e9a	US	2023-11-15T12:14:18.410Z	1.0					COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;MODIFIED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	2895315	2895315	6	7707728	220	412	8798	2895315				Coffea L.	Coffea L.		EML	2023-11-15T12:14:18.410Z	2023-11-15T10:00:41.468Z	true			MDG	Madagascar	MDG.5_1	Toamasina	MDG.5.3_1	Atsinanana	MDG.5.3.5_1	Toamasina Rural	NE	
4416193431		http://www.tropicos.org/Specimen/103382894		CC_BY_4_0				Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		TAN	Tropicos	Tropicos	MOBOT	PRESERVED_SPECIMEN				urn:catalog:MO:Tropicos:103382894	103382894	Andriambololonera 517	S. Andriambololonera;Hanta Razafindraibe;Richard Razakamalala		3											PRESENT																		2457529	2018-10-17T00:00:00				2018	10	17												AFRICA				MG	Toamasina	Atsinanana		District de Toamasina II, Commune d'Ambohitandroho, Fokontany de Mahatsara, Village d'Ambodivoapaka. Forêt d'Analampotsy.									-18.260833	49.323611																																				S. Andriambololonera		2023-01-01T00:00:00				40011705								Coffea L.								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae		Coffea	Coffea						GENUS			ICNafp	ACCEPTED	Legitimate		e053ff53-c156-4e2e-b9b5-4462e9625424	US	2023-11-15T06:58:08.220Z	1.0					COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;MODIFIED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION		true	false	2895315	2895315	6	7707728	220	412	8798	2895315				Coffea L.	Coffea L.		EML	2023-11-15T06:58:08.220Z	2023-11-15T05:40:24.424Z	true			MDG	Madagascar	MDG.5_1	Toamasina	MDG.5.3_1	Atsinanana	MDG.5.3.5_1	Toamasina Rural	NE	
4416185438		http://www.tropicos.org/Specimen/103382892		CC_BY_4_0				Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		P	Tropicos	Tropicos	MOBOT	PRESERVED_SPECIMEN				urn:catalog:MO:Tropicos:103382892	103382892	Andriambololonera 517	S. Andriambololonera;Hanta Razafindraibe;Richard Razakamalala		3											PRESENT																		2457529	2018-10-17T00:00:00				2018	10	17												AFRICA				MG	Toamasina	Atsinanana		District de Toamasina II, Commune d'Ambohitandroho, Fokontany de Mahatsara, Village d'Ambodivoapaka. Forêt d'Analampotsy.									-18.260833	49.323611																																				S. Andriambololonera		2023-01-01T00:00:00				40011705								Coffea L.								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae		Coffea	Coffea						GENUS			ICNafp	ACCEPTED	Legitimate		e053ff53-c156-4e2e-b9b5-4462e9625424	US	2023-11-15T06:57:07.115Z	1.0					COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;MODIFIED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION		true	false	2895315	2895315	6	7707728	220	412	8798	2895315				Coffea L.	Coffea L.		EML	2023-11-15T06:57:07.115Z	2023-11-15T05:40:24.424Z	true			MDG	Madagascar	MDG.5_1	Toamasina	MDG.5.3_1	Atsinanana	MDG.5.3.5_1	Toamasina Rural	NE	
4407332947				CC_BY_NC_4_0	2023-08-31T07:06:21Z		https://www.inaturalist.org/observations/180898623	Andry.A.R					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION	Coordinate uncertainty increased to 30885m to protect threatened taxon			https://www.inaturalist.org/observations/180898623	180898623		Andry.A.R													PRESENT																			2020-12-10T12:02:00	12:02:00+03:00			2020	12	10	2020/12/10 12:02											AFRICA				MG	Mahajanga				Sofia, MG-MA, MG								-15.487327	47.549289	30885.0																															402935879				Andry.A.R		2023-08-30T11:43:25				622296								Coffea bissetiae A.P.Davis & Rakotonas.								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae		Coffea	Coffea			bissetiae			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2023-11-15T16:20:38.640Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	3848929	3848929	6	7707728	220	412	8798	2895315		3848929	Coffea bissetiae	Coffea bissetiae A.P.Davis & Rakotonas.	Coffea bissetiae		DWC_ARCHIVE	2023-11-15T16:20:38.640Z	2023-11-14T14:42:11.117Z	true			MDG	Madagascar	MDG.4_1	Mahajanga	MDG.4.4_1	Sofia	MDG.4.4.7_1	Port Bergé	VU	
4177129611				CC_BY_NC_4_0	2023-08-14T06:49:43Z		https://www.inaturalist.org/observations/165702121	erickrak					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/165702121	165702121		erickrak													PRESENT																			2023-05-19T06:57:11	06:57:11+03:00			2023	5	19	2023-05-19 06:57:11											AFRICA				MG	Mahajanga				Betsiboka, MG-MA, MG								-17.117819	46.015711	15.0																															396925968				Franck Rakotonasolo		2023-08-13T20:09:01				451985								Coffea perrieri Drake ex Jum. & H.Perrier								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae		Coffea	Coffea			perrieri			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2023-11-15T17:12:14.300Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	2895320	2895320	6	7707728	220	412	8798	2895315		2895320	Coffea perrieri	Coffea perrieri Drake ex Jum. & H.Perrier	Coffea perrieri		DWC_ARCHIVE	2023-11-15T17:12:14.300Z	2023-11-14T14:42:11.117Z	true			MDG	Madagascar	MDG.4_1	Mahajanga	MDG.4.1_1	Betsiboka	MDG.4.1.1_1	Kandreho	LC	
4138335098				CC_BY_NC_4_0	2023-06-20T12:42:54Z		https://www.inaturalist.org/observations/167340940	Franck Rakotonasolo					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/167340940	167340940		Franck Rakotonasolo													PRESENT																			2023-05-19T06:57:59	06:57:59+03:00			2023	5	19	2023-05-19 06:57:59											AFRICA				MG	Mahajanga				Betsiboka, MG-MA, MG								-17.117573	46.015693	12.0																															374603349				Franck Rakotonasolo		2023-06-14T10:38:31				451985								Coffea perrieri Drake ex Jum. & H.Perrier								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae		Coffea	Coffea			perrieri			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2023-11-15T16:43:38.421Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	2895320	2895320	6	7707728	220	412	8798	2895315		2895320	Coffea perrieri	Coffea perrieri Drake ex Jum. & H.Perrier	Coffea perrieri		DWC_ARCHIVE	2023-11-15T16:43:38.421Z	2023-11-14T14:42:11.117Z	true			MDG	Madagascar	MDG.4_1	Mahajanga	MDG.4.1_1	Betsiboka	MDG.4.1.1_1	Kandreho	LC	
4137997535				CC_BY_NC_4_0	2023-06-20T12:42:40Z		https://www.inaturalist.org/observations/167341461	Franck Rakotonasolo					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/167341461	167341461		Franck Rakotonasolo													PRESENT																			2023-05-20T12:45:16	12:45:16+03:00			2023	5	20	2023-05-20 12:45:16											AFRICA				MG	Mahajanga				Betsiboka, MG-MA, MG								-17.077081	45.920397	39.0																															375756458				Franck Rakotonasolo		2023-06-17T16:31:00				476019								Coffea pervilleana (Baill.) Drake								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae		Coffea	Coffea			pervilleana			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2023-11-15T16:18:10.506Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	2895507	2895507	6	7707728	220	412	8798	2895315		2895507	Coffea pervilleana	Coffea pervilleana (Baill.) Drake	Coffea pervilleana		DWC_ARCHIVE	2023-11-15T16:18:10.506Z	2023-11-14T14:42:11.117Z	true			MDG	Madagascar	MDG.4_1	Mahajanga	MDG.4.1_1	Betsiboka	MDG.4.1.1_1	Kandreho	LC	
4137704080				CC_BY_NC_4_0	2023-06-21T11:01:05Z		https://www.inaturalist.org/observations/167000686	Ary_Misa					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/167000686	167000686		Ary_Misa													PRESENT								Shrub											2023-05-20T10:07:58	10:07:58+03:00			2023	5	20	2023-05-20 10:07:58											AFRICA				MG	Mahajanga				Betsiboka, MG-MA, MG								-17.07882	45.923007	22.0																															374534706				nomentsoa		2023-06-14T03:40:44				476019								Coffea pervilleana (Baill.) Drake								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae		Coffea	Coffea			pervilleana			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2023-11-15T16:40:19.118Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	2895507	2895507	6	7707728	220	412	8798	2895315		2895507	Coffea pervilleana	Coffea pervilleana (Baill.) Drake	Coffea pervilleana		DWC_ARCHIVE	2023-11-15T16:40:19.118Z	2023-11-14T14:42:11.117Z	true			MDG	Madagascar	MDG.4_1	Mahajanga	MDG.4.1_1	Betsiboka	MDG.4.1.1_1	Kandreho	LC	
4129116320		http://www.tropicos.org/Specimen/103327617		CC_BY_4_0				Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		MO	Tropicos	Tropicos	MOBOT	PRESERVED_SPECIMEN				urn:catalog:MO:Tropicos:103327617	103327617	Martial 954	Martial		5											PRESENT																		3539717	2020-08-10T00:00:00				2020	8	10												AFRICA				MG	Antsiranana	SAVA		District SAMBAVA, Commune Anjangoveratra, Fokontany Antsahavola, AP Makirovana-Tsihomanaomby, Bloc Tsihomanaomby. Herbier conservé en alcool. Guide local Berthon.									-14.108861	50.050361																																				Martial		2020-01-01T00:00:00				40011705								Coffea L.								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae		Coffea	Coffea						GENUS			ICNafp	ACCEPTED	Legitimate		7bd65a7a-f762-11e1-a439-00145eb45e9a	US	2023-11-15T12:11:29.173Z	147.0					COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;MODIFIED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	2895315	2895315	6	7707728	220	412	8798	2895315				Coffea L.	Coffea L.		EML	2023-11-15T12:11:29.173Z	2023-11-15T10:00:41.468Z	true			MDG	Madagascar	MDG.2_1	Antsiranana	MDG.2.2_1	Sava	MDG.2.2.3_1	Sambava	NE	
4129096338		http://www.tropicos.org/Specimen/103328296		CC_BY_4_0				Missouri Botanical Garden	PhysicalObject		http://biocol.org/urn:lsid:biocol.org:col:15859		MO	Tropicos	Tropicos	MOBOT	PRESERVED_SPECIMEN				urn:catalog:MO:Tropicos:103328296	103328296	Martial 1043	Martial		5											PRESENT																		3539721	2020-11-06T00:00:00				2020	11	6												AFRICA				MG	Antsiranana	SAVA		District de Sambava, commune rurale d'Anjangoveratra, Antanandava, Belalogno, Makirovana. Plantes préservées en alcool.									-14.171278	49.95875																																				Martial		2020-01-01T00:00:00				40011705								Coffea L.								Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae		Coffea	Coffea						GENUS			ICNafp	ACCEPTED	Legitimate		7bd65a7a-f762-11e1-a439-00145eb45e9a	US	2023-11-15T12:14:14.316Z	432.0					COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;MODIFIED_DATE_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	2895315	2895315	6	7707728	220	412	8798	2895315				Coffea L.	Coffea L.		EML	2023-11-15T12:14:14.316Z	2023-11-15T10:00:41.468Z	true			MDG	Madagascar	MDG.2_1	Antsiranana	MDG.2.2_1	Sava	MDG.2.2.3_1	Sambava	NE	
