env_77_veg_16,clim_60_pet5_may,env_79_forcov,clim_34_prec10_oct,clim_39_isotherm,clim_69_cwd_annual,env_76_soi_9,env_76_soi_10,clim_40_temp_season,env_78_wat_3,clim_70_ndm_per_year,env_73_asp,env_77_veg_14,env_76_soi_11,env_71_alt
1,67.0,1.0,168.0,61.0,37.0,0,1,2637.0,1,1.0,228.0,0,0,461.0
1,77.0,0.0,172.0,60.0,27.0,0,0,2493.0,1,1.0,11.0,0,1,78.0
1,77.0,0.0,172.0,60.0,27.0,0,0,2493.0,1,1.0,11.0,0,1,78.0
1,76.0,16.0,173.0,60.0,27.0,0,0,2512.0,1,1.0,173.0,0,1,92.0
0,61.0,99.0,107.0,67.0,179.0,1,0,2478.0,0,7.0,290.0,1,0,1332.0
0,65.0,100.0,105.0,66.0,197.0,1,0,2488.0,0,7.0,16.0,0,0,992.0
1,67.0,13.0,106.0,66.0,193.0,1,0,2500.0,0,7.0,290.0,0,0,900.0
0,70.0,85.0,105.0,70.0,121.0,1,0,2224.0,0,6.0,332.0,1,0,1084.0
0,65.0,59.0,103.0,71.0,102.0,1,0,2229.0,0,6.0,319.0,0,0,1438.0
0,63.0,100.0,103.0,71.0,97.0,1,0,2194.0,0,6.0,162.0,1,0,1466.0
1,65.0,96.0,108.0,71.0,54.0,1,0,2261.0,0,4.0,48.0,0,0,1545.0
0,73.0,95.0,106.0,68.0,21.0,1,0,2267.0,0,3.0,319.0,1,0,994.0
0,73.0,95.0,106.0,68.0,21.0,1,0,2267.0,0,3.0,319.0,1,0,994.0
1,75.0,0.0,172.0,60.0,26.0,0,0,2510.0,1,1.0,48.0,0,1,201.0
1,76.0,16.0,173.0,60.0,27.0,0,0,2512.0,1,1.0,173.0,0,1,92.0
0,90.0,0.0,136.0,60.0,20.0,0,1,2174.0,0,1.0,221.0,0,0,37.0
0,87.0,99.0,138.0,61.0,19.0,0,1,2270.0,0,1.0,274.0,1,0,143.0
0,66.0,85.0,107.0,64.0,71.0,1,0,2513.0,0,3.0,148.0,1,0,908.0
1,90.0,2.0,151.0,60.0,9.0,0,0,2362.0,0,1.0,161.0,0,1,270.0
0,94.0,0.0,157.0,59.0,6.0,0,1,2196.0,0,1.0,269.0,0,0,15.0
1,91.0,2.0,156.0,60.0,7.0,0,1,2276.0,0,1.0,303.0,0,0,184.0
0,95.0,69.0,146.0,58.0,11.0,0,0,2202.0,0,1.0,252.0,0,0,23.0
1,94.0,34.0,145.0,57.0,10.0,0,0,2193.0,0,1.0,115.0,0,0,8.0
1,94.0,34.0,145.0,57.0,10.0,0,0,2193.0,0,1.0,115.0,0,0,8.0
1,94.0,34.0,145.0,57.0,10.0,0,0,2193.0,0,1.0,115.0,0,0,8.0
1,92.0,0.0,157.0,60.0,5.0,0,1,2255.0,0,1.0,10.0,0,0,98.0
1,75.0,67.0,116.0,64.0,19.0,0,0,2319.0,0,1.0,312.0,0,1,483.0
1,90.0,8.0,154.0,60.0,3.0,0,1,2278.0,0,1.0,257.0,0,0,183.0
1,90.0,19.0,156.0,60.0,3.0,0,1,2275.0,0,1.0,316.0,0,0,163.0
1,92.0,0.0,160.0,59.0,0.0,0,1,2232.0,0,1.0,131.0,0,0,50.0
1,90.0,1.0,149.0,62.0,0.0,0,1,2214.0,0,1.0,205.0,0,0,46.0
1,90.0,1.0,148.0,62.0,1.0,0,0,2240.0,0,1.0,189.0,0,1,85.0
1,89.0,8.0,145.0,63.0,1.0,0,0,2178.0,0,1.0,161.0,0,0,55.0
1,91.0,28.0,146.0,62.0,1.0,0,0,2149.0,0,1.0,351.0,0,0,14.0
0,92.0,100.0,146.0,62.0,0.0,0,0,2165.0,0,0.0,294.0,0,0,17.0
0,93.0,0.0,153.0,60.0,2.0,0,1,2209.0,0,1.0,98.0,0,0,32.0
1,93.0,0.0,150.0,60.0,1.0,0,1,2217.0,0,1.0,15.0,0,0,32.0
1,92.0,0.0,150.0,60.0,0.0,0,1,2210.0,0,1.0,277.0,0,0,55.0
1,92.0,41.0,150.0,60.0,0.0,0,1,2207.0,0,1.0,297.0,0,0,33.0
0,93.0,59.0,150.0,60.0,0.0,0,0,2193.0,0,1.0,147.0,1,0,50.0
1,94.0,5.0,150.0,59.0,1.0,0,0,2197.0,0,1.0,180.0,0,0,31.0
0,92.0,0.0,138.0,59.0,0.0,0,0,2038.0,0,1.0,30.0,0,0,28.0
1,97.0,9.0,113.0,62.0,19.0,0,0,2079.0,0,1.0,231.0,0,0,34.0
0,77.0,100.0,111.0,64.0,9.0,1,0,2259.0,0,1.0,180.0,1,0,621.0
0,77.0,100.0,111.0,64.0,9.0,1,0,2259.0,0,1.0,180.0,1,0,621.0
1,104.0,2.0,95.0,65.0,64.0,0,1,1792.0,0,4.0,177.0,0,0,106.0
1,100.0,22.0,97.0,66.0,51.0,0,1,1808.0,0,4.0,240.0,0,0,69.0
0,97.0,17.0,99.0,65.0,40.0,0,0,1835.0,0,4.0,150.0,1,0,244.0
0,97.0,74.0,98.0,65.0,38.0,0,0,1836.0,0,4.0,341.0,1,0,297.0
0,98.0,74.0,97.0,65.0,41.0,0,0,1823.0,0,4.0,187.0,1,0,206.0
0,98.0,87.0,97.0,66.0,40.0,0,0,1821.0,0,4.0,7.0,1,0,261.0
0,98.0,74.0,97.0,65.0,41.0,0,0,1823.0,0,4.0,187.0,1,0,206.0
0,101.0,0.0,81.0,65.0,687.0,0,0,1879.0,0,8.0,355.0,0,0,86.0
0,101.0,0.0,81.0,65.0,687.0,0,0,1879.0,0,8.0,355.0,0,0,86.0
0,100.0,0.0,82.0,65.0,677.0,0,0,1866.0,0,8.0,223.0,0,0,98.0
0,100.0,0.0,82.0,65.0,677.0,0,0,1866.0,0,8.0,223.0,0,0,98.0
0,96.0,3.0,102.0,67.0,603.0,0,0,1783.0,0,8.0,10.0,0,0,229.0
0,92.0,62.0,105.0,67.0,567.0,0,0,1799.0,0,8.0,208.0,0,0,259.0
0,92.0,62.0,105.0,67.0,567.0,0,0,1799.0,0,8.0,208.0,0,0,259.0
0,94.0,42.0,105.0,67.0,580.0,0,0,1814.0,0,8.0,231.0,0,0,243.0
0,116.0,33.0,129.0,69.0,681.0,0,0,1488.0,0,8.0,98.0,0,0,201.0
1,71.0,9.0,178.0,61.0,32.0,0,1,2564.0,1,1.0,211.0,0,0,336.0
1,76.0,16.0,173.0,60.0,27.0,0,0,2512.0,1,1.0,173.0,0,1,92.0
0,115.0,72.0,169.0,71.0,465.0,0,0,1230.0,0,7.0,58.0,0,0,122.0
0,112.0,96.0,168.0,71.0,450.0,0,0,1222.0,0,7.0,176.0,1,0,267.0
0,114.0,29.0,161.0,69.0,409.0,0,0,1387.0,0,7.0,111.0,0,0,55.0
0,68.0,96.0,104.0,71.0,226.0,1,0,1854.0,0,6.0,267.0,1,0,1128.0
1,77.0,0.0,172.0,60.0,27.0,0,0,2493.0,1,1.0,11.0,0,1,78.0
1,73.0,18.0,171.0,59.0,23.0,0,0,2525.0,1,1.0,347.0,0,1,211.0
1,75.0,0.0,172.0,60.0,26.0,0,0,2510.0,1,1.0,48.0,0,1,201.0
1,77.0,0.0,172.0,60.0,27.0,0,0,2493.0,1,1.0,11.0,0,1,78.0
1,76.0,16.0,173.0,60.0,27.0,0,0,2512.0,1,1.0,173.0,0,1,92.0
